0 | Ossa | Nikita | Day group | 53 | 629 | 75 | 352
248 | Pogrebnyak | Valentin | Day group | 45 | 62 | 344 | 478
249 | Kot | Oleg | Day group | 7 | 464 | 875 | 896
250 | Kot | Alexey | Evening group | 10 | 974 | 555 | 856
251 | Kot | Nikita | Day group | 5 | 754 | 170 | 708
252 | Rozental | Dmitriy | Day group | 30 | 332 | 178 | 957
253 | Bobr | Alexandr | Day group | 49 | 322 | 577 | 187
254 | Meye | Achmed | Evening group | 42 | 928 | 497 | 385
255 | Chernych | Marina | Day group | 5 | 228 | 74 | 431
256 | Kornienko | Anastasia | Evening group | 0 | 95 | 65 | 205
257 | Kot | Marina | Evening group | 25 | 5 | 123 | 401
258 | Kornienko | Maria | Evening group | 10 | 197 | 842 | 565
259 | Fischer | Alexandr | Evening group | 11 | 415 | 680 | 677
260 | Ossa | Oleg | Evening group | 46 | 963 | 564 | 961
261 | Erochevich | Nikita | Evening group | 55 | 148 | 187 | 612
262 | Meye | Oleg | Day group | 39 | 268 | 788 | 475
263 | Meuler | Artem | Evening group | 44 | 395 | 910 | 427
264 | Meuler | Anastasia | Evening group | 13 | 519 | 470 | 687
265 | Rozental | Dmitriy | Evening group | 39 | 235 | 309 | 717
266 | Meuler | Valentin | Evening group | 20 | 313 | 961 | 993
267 | Rozental | Oleg | Evening group | 44 | 749 | 410 | 291
268 | Kot | Valentin | Evening group | 13 | 217 | 233 | 413
269 | Meye | Nikita | Day group | 56 | 262 | 943 | 777
270 | Chernych | Vladislav | Evening group | 32 | 514 | 736 | 39
271 | Fischer | Oleg | Day group | 2 | 127 | 528 | 937
272 | Kornienko | Sonya | Day group | 52 | 751 | 961 | 770
273 | Meuler | Maria | Day group | 56 | 573 | 459 | 877
274 | Bobr | Maria | Evening group | 44 | 667 | 794 | 569
275 | Meye | Alexandr | Evening group | 7 | 547 | 384 | 210
276 | Kornienko | Dmitriy | Evening group | 49 | 233 | 839 | 603
277 | Grechko | Marina | Evening group | 55 | 65 | 751 | 986
278 | Kot | Dmitriy | Evening group | 14 | 188 | 393 | 169
279 | Kot | Sonya | Evening group | 4 | 299 | 337 | 256
280 | Bobr | Nikita | Day group | 36 | 494 | 977 | 942
281 | Chernych | Alexandr | Evening group | 51 | 614 | 747 | 961
282 | Grechko | Achmed | Evening group | 0 | 358 | 706 | 789
283 | Bobr | Sonya | Day group | 0 | 158 | 228 | 966
284 | Meye | Dmitriy | Evening group | 23 | 357 | 993 | 35
285 | Grechko | Valentin | Evening group | 34 | 263 | 146 | 409
286 | Meye | Oleg | Day group | 34 | 332 | 990 | 511
287 | Pogrebnyak | Elena | Evening group | 6 | 54 | 514 | 542
288 | Grechko | Elena | Evening group | 41 | 458 | 323 | 673
289 | Kornienko | Vladislav | Day group | 24 | 870 | 123 | 141
290 | Pogrebnyak | Anastasia | Evening group | 34 | 524 | 40 | 978
291 | Erochevich | Alexandr | Day group | 52 | 194 | 443 | 423
292 | Kot | Valentin | Evening group | 48 | 484 | 507 | 859
293 | Kornienko | Oleg | Day group | 27 | 27 | 574 | 218
294 | Kot | Oleg | Evening group | 51 | 573 | 404 | 381
295 | Fischer | Oleg | Evening group | 21 | 702 | 9 | 634
296 | Fischer | Oleg | Evening group | 17 | 910 | 943 | 185
297 | Ossa | Nikita | Day group | 51 | 868 | 676 | 438
298 | Meye | Vladislav | Day group | 30 | 635 | 167 | 741
299 | Rozental | Elena | Evening group | 15 | 871 | 220 | 567
300 | Bobr | Nikita | Day group | 4 | 965 | 901 | 10
301 | Chernych | Achmed | Evening group | 22 | 865 | 827 | 395
302 | Grechko | Dmitriy | Day group | 43 | 916 | 381 | 517
303 | Erochevich | Oleg | Day group | 27 | 302 | 792 | 60
304 | Chernych | Nikita | Day group | 20 | 298 | 403 | 995
305 | Kornienko | Elena | Day group | 30 | 928 | 355 | 891
306 | Meuler | Marina | Evening group | 10 | 110 | 719 | 421
307 | Erochevich | Achmed | Day group | 45 | 931 | 330 | 316
308 | Kornienko | Alexey | Day group | 24 | 402 | 916 | 753
309 | Meye | Nikita | Day group | 48 | 322 | 301 | 172
310 | Grechko | Alexandr | Day group | 34 | 979 | 470 | 715
311 | Grechko | Alexey | Evening group | 41 | 661 | 318 | 946
312 | Kot | Marina | Day group | 15 | 124 | 37 | 240
313 | Ossa | Oleg | Evening group | 3 | 939 | 671 | 125
314 | Rozental | Artem | Day group | 37 | 733 | 943 | 895
315 | Erochevich | Oleg | Day group | 45 | 635 | 937 | 368
316 | Fischer | Sonya | Evening group | 6 | 324 | 27 | 209
317 | Erochevich | Achmed | Day group | 41 | 192 | 67 | 858
318 | Pogrebnyak | Oleg | Day group | 30 | 499 | 398 | 469
319 | Bobr | Anastasia | Evening group | 24 | 239 | 240 | 53
320 | Erochevich | Alexey | Evening group | 35 | 885 | 450 | 641
321 | Grechko | Nikita | Day group | 46 | 327 | 570 | 915
322 | Meye | Marina | Day group | 53 | 614 | 315 | 435
323 | Ossa | Oleg | Day group | 42 | 607 | 35 | 397
324 | Rozental | Maria | Day group | 53 | 211 | 752 | 432
325 | Grechko | Achmed | Day group | 42 | 427 | 450 | 497
326 | Chernych | Nikita | Evening group | 24 | 597 | 942 | 615
327 | Grechko | Achmed | Evening group | 25 | 747 | 932 | 673
328 | Bobr | Sonya | Evening group | 12 | 891 | 387 | 583
329 | Grechko | Alexandr | Evening group | 26 | 972 | 493 | 288
330 | Fischer | Alexey | Day group | 11 | 719 | 620 | 225
331 | Grechko | Artem | Evening group | 28 | 518 | 781 | 907
332 | Kornienko | Vladislav | Day group | 31 | 292 | 812 | 419
333 | Grechko | Dmitriy | Evening group | 22 | 277 | 56 | 222
334 | Rozental | Maria | Day group | 15 | 837 | 131 | 145
335 | Chernych | Marina | Evening group | 54 | 200 | 406 | 986
336 | Erochevich | Artem | Evening group | 42 | 973 | 304 | 710
337 | Pogrebnyak | Marina | Day group | 12 | 847 | 714 | 356
338 | Fischer | Oleg | Day group | 27 | 191 | 987 | 298
339 | Rozental | Elena | Day group | 53 | 203 | 516 | 91
340 | Bobr | Alexey | Evening group | 35 | 958 | 811 | 672
341 | Grechko | Anastasia | Evening group | 16 | 86 | 826 | 296
342 | Meuler | Valentin | Day group | 37 | 708 | 190 | 981
343 | Chernych | Artem | Day group | 54 | 536 | 270 | 448
344 | Pogrebnyak | Achmed | Evening group | 54 | 398 | 250 | 676
345 | Pogrebnyak | Vladislav | Day group | 13 | 128 | 492 | 484
346 | Ossa | Nikita | Day group | 26 | 456 | 689 | 860
347 | Ossa | Alexey | Evening group | 25 | 202 | 993 | 971
348 | Erochevich | Alexey | Day group | 4 | 845 | 124 | 599
349 | Grechko | Achmed | Evening group | 1 | 2 | 47 | 561
350 | Rozental | Oleg | Evening group | 48 | 985 | 990 | 379
351 | Kornienko | Dmitriy | Evening group | 25 | 962 | 298 | 539
352 | Fischer | Anastasia | Day group | 29 | 656 | 441 | 346
353 | Meye | Valentin | Evening group | 49 | 903 | 152 | 542
354 | Kornienko | Alexey | Evening group | 50 | 48 | 865 | 244
355 | Pogrebnyak | Alexandr | Evening group | 31 | 832 | 945 | 185
356 | Meye | Nikita | Evening group | 14 | 548 | 579 | 701
357 | Rozental | Sonya | Evening group | 38 | 981 | 893 | 835
358 | Bobr | Vladislav | Day group | 39 | 30 | 867 | 394
359 | Rozental | Anastasia | Evening group | 38 | 845 | 1 | 443
360 | Fischer | Vladislav | Day group | 22 | 520 | 386 | 548
361 | Meye | Alexey | Day group | 28 | 510 | 774 | 300
362 | Fischer | Anastasia | Evening group | 29 | 705 | 174 | 19
363 | Pogrebnyak | Anastasia | Evening group | 37 | 487 | 612 | 541
364 | Meye | Alexey | Evening group | 44 | 327 | 583 | 262
365 | Meye | Marina | Day group | 9 | 869 | 124 | 242
366 | Chernych | Nikita | Day group | 42 | 152 | 460 | 193
367 | Ossa | Vladislav | Day group | 12 | 587 | 281 | 748
368 | Kot | Artem | Evening group | 33 | 463 | 559 | 114
369 | Grechko | Oleg | Day group | 1 | 756 | 509 | 823
370 | Chernych | Elena | Evening group | 56 | 185 | 105 | 100
371 | Bobr | Nikita | Evening group | 17 | 450 | 940 | 837
372 | Chernych | Sonya | Day group | 41 | 655 | 472 | 823
373 | Grechko | Anastasia | Day group | 4 | 554 | 285 | 120
374 | Meye | Anastasia | Day group | 11 | 0 | 140 | 542
375 | Fischer | Artem | Day group | 6 | 824 | 703 | 957
376 | Bobr | Maria | Evening group | 20 | 553 | 450 | 529
377 | Grechko | Alexey | Day group | 2 | 943 | 940 | 323
378 | Fischer | Alexandr | Evening group | 1 | 877 | 27 | 341
379 | Pogrebnyak | Sonya | Evening group | 12 | 658 | 47 | 738
380 | Meuler | Maria | Day group | 24 | 987 | 806 | 516
381 | Meye | Elena | Day group | 26 | 310 | 187 | 21
382 | Ossa | Valentin | Day group | 48 | 741 | 842 | 68
383 | Pogrebnyak | Sonya | Day group | 26 | 880 | 609 | 657
384 | Kot | Nikita | Evening group | 31 | 559 | 988 | 927
385 | Kornienko | Alexey | Day group | 32 | 483 | 516 | 312
386 | Grechko | Sonya | Evening group | 49 | 723 | 397 | 950
387 | Fischer | Artem | Day group | 43 | 217 | 819 | 733
388 | Ossa | Anastasia | Day group | 36 | 968 | 534 | 226
389 | Ossa | Anastasia | Evening group | 22 | 174 | 850 | 939
390 | Meye | Marina | Day group | 47 | 595 | 724 | 891
391 | Kot | Dmitriy | Evening group | 22 | 623 | 91 | 318
392 | Chernych | Nikita | Evening group | 47 | 678 | 572 | 560
393 | Pogrebnyak | Valentin | Evening group | 53 | 675 | 946 | 715
394 | Meuler | Achmed | Evening group | 9 | 193 | 888 | 362
395 | Chernych | Artem | Evening group | 41 | 682 | 461 | 558
396 | Kornienko | Dmitriy | Evening group | 46 | 112 | 181 | 479
397 | Pogrebnyak | Alexandr | Day group | 56 | 728 | 487 | 24
398 | Kot | Alexandr | Evening group | 20 | 510 | 25 | 734
399 | Erochevich | Oleg | Evening group | 7 | 258 | 70 | 103
400 | Grechko | Nikita | Evening group | 29 | 623 | 238 | 703
401 | Kot | Alexey | Evening group | 18 | 655 | 835 | 494
402 | Grechko | Achmed | Evening group | 41 | 892 | 777 | 985
403 | Kot | Nikita | Evening group | 1 | 756 | 443 | 785
404 | Meuler | Elena | Day group | 34 | 214 | 11 | 320
405 | Fischer | Oleg | Evening group | 9 | 959 | 190 | 631
406 | Kornienko | Elena | Evening group | 6 | 222 | 692 | 430
407 | Pogrebnyak | Artem | Day group | 25 | 236 | 468 | 913
408 | Erochevich | Anastasia | Day group | 21 | 4 | 633 | 22
409 | Chernych | Valentin | Day group | 7 | 742 | 104 | 125
410 | Rozental | Achmed | Day group | 48 | 26 | 888 | 373
411 | Grechko | Maria | Day group | 49 | 314 | 451 | 139
412 | Fischer | Alexey | Day group | 45 | 807 | 607 | 107
413 | Pogrebnyak | Valentin | Day group | 55 | 651 | 461 | 161
414 | Kot | Oleg | Evening group | 12 | 312 | 568 | 297
415 | Kot | Nikita | Day group | 28 | 6 | 280 | 810
416 | Pogrebnyak | Sonya | Day group | 35 | 414 | 616 | 942
417 | Erochevich | Vladislav | Evening group | 54 | 693 | 287 | 462
418 | Ossa | Marina | Evening group | 15 | 831 | 537 | 822
419 | Erochevich | Elena | Day group | 17 | 568 | 870 | 551
420 | Grechko | Alexey | Day group | 50 | 278 | 506 | 775
421 | Kot | Achmed | Evening group | 2 | 991 | 826 | 477
422 | Kot | Alexandr | Evening group | 17 | 889 | 147 | 574
